#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/															
#dcterms:license: CC-0															
#version: 2.0.0															
#creator_id:															
#  - https://orcid.org/0009-0004-7916-9833															
#creator_name:															
#  - Camila Babo															
#curie_map:															
# - dnaextension: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_2024-07-11.xml#															
#  - dnaextensionversion: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_															
#  - dwc: http://rs.tdwg.org/dwc/terms/															
# - dwcversion:http://rs.tdwg.org/dwc/doc/list/															
#  - MIXS: https://w3id.org/mixs/															
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/blob/mixs6.0.0/model/schema/mixs.yaml															
# - ggbn: https://www.ggbn.org/ggbn_portal/site/wf?p=ggbn:															
# - ggbnversion: https://www.ggbn.org/ggbn_portal/site/wf?p=															
#  - orcid: https://orcid.org/															
#  - skos: http://www.w3.org/2004/02/skos/core															
#  - semapv: https://w3id.org/semapv/vocab/															
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	mapping_justification	comment
dnaextension:encoded_traits	encoded_traits	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000034	encoded traits	MIxS core	orcid:0009-0004-7916-9833	dnaextension:encoded_traits	dnaextensionversion:2024-07-11.xml#encoded_traits	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:rel_to_oxygen	rel_to_oxygen	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000015	relationship to oxygen	MIxS core	orcid:0009-0004-7916-9833	dnaextension:rel_to_oxygen	dnaextensionversion:2024-07-11.xml#rel_to_oxygen	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:isol_growth_condt	isol_growth_condt	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000003	isolation and growth condition	MIxS core	orcid:0009-0004-7916-9833	dnaextension:isol_growth_condt	dnaextensionversion:2024-07-11.xml#isol_growth_condt	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:samp_collec_device	samp_collec_device	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000002	sample collection device	MIxS core	orcid:0009-0004-7916-9833	dnaextension:samp_collec_device	dnaextensionversion:2024-07-11.xml#samp_collec_device	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:samp_collec_method	samp_collec_method	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0001225	sample collection method	MIxS core	orcid:0009-0004-7916-9833	dnaextension:samp_collec_method	dnaextensionversion:2024-07-11.xml#samp_collec_method	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:samp_mat_process	samp_mat_process	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000016	sample material processing	MIxS core	orcid:0009-0004-7916-9833	dnaextension:samp_mat_process	dnaextensionversion:2024-07-11.xml#samp_mat_process	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:size_frac	size_frac	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000017	size fraction selected	MIxS core	orcid:0009-0004-7916-9833	dnaextension:size_frac	dnaextensionversion:2024-07-11.xml#size_frac	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:samp_size	samp_size	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000001	amount or size of sample collected	MIxS core	orcid:0009-0004-7916-9833	dnaextension:samp_size	dnaextensionversion:2024-07-11.xml#samp_size	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:samp_vol_we_dna_ext	samp_vol_we_dna_ext	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000111	sample volume or weight for DNA extraction	MIxS core	orcid:0009-0004-7916-9833	dnaextension:samp_vol_we_dna_ext	dnaextensionversion:2024-07-11.xml#samp_vol_we_dna_ext	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:source_uvig	source_uvig	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000035	source of UViGs	MIxS core	orcid:0009-0004-7916-9833	dnaextension:source_uvig	dnaextensionversion:2024-07-11.xml#source_uvig	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:virus_enrich_appr	virus_enrich_appr	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000036	virus enrichment approach	MIxS core	orcid:0009-0004-7916-9833	dnaextension:virus_enrich_appr	dnaextensionversion:2024-07-11.xml#virus_enrich_appr	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:nucl_acid_ext	nucl_acid_ext	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000037	nucleic acid extraction	MIxS core	orcid:0009-0004-7916-9833	dnaextension:nucl_acid_ext	dnaextensionversion:2024-07-11.xml#nucl_acid_ext	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:nucl_acid_amp	nucl_acid_amp	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000038	nucleic acid amplification	MIxS core	orcid:0009-0004-7916-9833	dnaextension:nucl_acid_amp	dnaextensionversion:2024-07-11.xml#nucl_acid_amp	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
