#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/																
#dcterms:license: CC-0																
#version: 2.0.0																
#creator_id:																
#  - https://orcid.org/0009-0004-7916-9833																
#creator_name:																
#  - Camila Babo																
#curie_map:																
# - dnaextension: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_2024-07-11.xml#																
#  - dnaextensionversion: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_																
#  - dwc: http://rs.tdwg.org/dwc/terms/																
# - dwcversion:http://rs.tdwg.org/dwc/doc/list/																
#  - MIXS: https://w3id.org/mixs/																
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/blob/mixs6.0.0/model/schema/mixs.yaml																
# - ggbn: https://www.ggbn.org/ggbn_portal/site/wf?p=ggbn:																
# - ggbnversion: https://www.ggbn.org/ggbn_portal/site/wf?p=																
#  - orcid: https://orcid.org/																
#  - skos: http://www.w3.org/2004/02/skos/core																
#extension_definitions:																
#  - slot_name: ex_syntax_predicate_id																
#  - property: http://sssom.invalid/ex_syntax_predicate_id																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
#  - slot_name: ext_syntax_comment																
#  - property: http://sssom.invalid/ext_syntax_comment																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
subject_id	subject_label	subject_category	ex_syntax_predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	mapping_justification	ex_syntax_comment
MIXS:0000034	encoded traits	dnaextension:encoded_traits	skos:exactMatch	MIXS:0000034	encoded_traits	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:encoded_traits	dnaextensionversion:2024-07-11.xml#encoded_traits	MIXSversion:mixs.yaml	6.2.0	2025-07-15	0.9	ManualMappingCuration	
MIXS:0000015	relationship to oxygen	dnaextension:rel_to_oxygen	skos:exactMatch	MIXS:0000015	rel_to_oxygen	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:rel_to_oxygen	dnaextensionversion:2024-07-11.xml#rel_to_oxygen	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	Both standards expect a specific range of values (DwC:https://rs.gbif.org/vocabulary/dna/rel_to_oxygen.xml; MIxS: https://genomicsstandardsconsortium.github.io/mixs/RelToOxygenEnum/)
MIXS:0000003	isolation and growth condition	dnaextension:isol_growth_condt	skos:exactMatch	MIXS:0000003	isol_growth_condt	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:isol_growth_condt	dnaextensionversion:2024-07-11.xml#isol_growth_condt	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000002	sample collection device	dnaextension:samp_collec_device		MIXS:0000002	samp_collec_device	MIxS core		orcid:0009-0004-7916-9833	dnaextension:samp_collec_device	dnaextensionversion:2024-07-11.xml#samp_collec_device	MIXSversion:mixs.yaml	6.2.0			ManualMappingCuration	The example seems to be switched with the samp_collec_method. DwC seems to allow for various devices to be enumerated (comma separated), not sure if MIxS also allows for this as there are no examples provided. For both standards, they mention the ability to accept terms listed under specimen collection device from the Genomic Epidemiology Ontology, however the term has been deprecated (https://ontobee.org/ontology/GENEPIO?iri=http://purl.obolibrary.org/obo/GENEPIO_0002094).
MIXS:0001225	sample collection method	dnaextension:samp_collec_method		MIXS:0001225	samp_collec_method	MIxS core		orcid:0009-0004-7916-9833	dnaextension:samp_collec_method	dnaextensionversion:2024-07-11.xml#samp_collec_method	MIXSversion:mixs.yaml	6.2.0			ManualMappingCuration	The example provideded in DwC and the structured/Regex pattern mentioned in MIxS don't seem to align.
MIXS:0000016	sample material processing	dnaextension:samp_mat_process	skos:exactMatch	MIXS:0000016	samp_mat_process	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:samp_mat_process	dnaextensionversion:2024-07-11.xml#samp_mat_process	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	DwC allows OBI terms. For a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI
MIXS:0000017	size fraction selected	dnaextension:size_frac	skos:exactMatch	MIXS:0000017	size_frac	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:size_frac	dnaextensionversion:2024-07-11.xml#size_frac	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000001	amount or size of sample collected	dnaextension:samp_size	skos:exactMatch	MIXS:0000001	samp_size	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:samp_size	dnaextensionversion:2024-07-11.xml#samp_size	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000111	sample volume or weight for DNA extraction	dnaextension:samp_vol_we_dna_ext	skos:exactMatch	MIXS:0000111	samp_vol_we_dna_ext	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:samp_vol_we_dna_ext	dnaextensionversion:2024-07-11.xml#samp_vol_we_dna_ext	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000035	source of UViGs	dnaextension:source_uvig	skos:exactMatch	MIXS:0000035	source_uvig	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:source_uvig	dnaextensionversion:2024-07-11.xml#source_uvig	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	Both standards expect values from a controlled vocabulary (https://rs.gbif.org/vocabulary/dna/source_uvig.xml for DwC) and string serialization ('[metagenome (not viral targeted)|viral fraction metagenome (virome)|sequence-targeted metagenome|metatranscriptome (not viral targeted)|viral fraction RNA metagenome (RNA virome)|sequence-targeted RNA metagenome|microbial single amplified genome (SAG)|viral single amplified genome (vSAG)|isolate microbial genome|other]' for MIxS).
MIXS:0000036	virus enrichment approach	dnaextension:virus_enrich_appr		MIXS:0000036	virus_enrich_appr	MIxS core		orcid:0009-0004-7916-9833	dnaextension:virus_enrich_appr	dnaextensionversion:2024-07-11.xml#virus_enrich_appr	MIXSversion:mixs.yaml	6.2.0			ManualMappingCuration	The syntactic scope is the exact same. However the syntactic representation in different. Both standards expect values from a controlled vocabulary. Both controlled vocabularies are the same. For DwC, multiple values are separated by '+'. MIxS accepts multiple values separated by paragraphs??
MIXS:0000037	nucleic acid extraction	dnaextension:nucl_acid_ext	skos:exactMatch	MIXS:0000037	nucl_acid_ext	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:nucl_acid_ext	dnaextensionversion:2024-07-11.xml#nucl_acid_ext	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000038	nucleic acid amplification	dnaextension:nucl_acid_amp	skos:exactMatch	MIXS:0000038	nucl_acid_amp	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:nucl_acid_amp	dnaextensionversion:2024-07-11.xml#nucl_acid_amp	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000039	library size	dnaextension:lib_size	skos:exactMatch	MIXS:0000039	lib_size	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:lib_size	dnaextensionversion:2024-07-11.xml#lib_size	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	MIxS expects a integer values.
